order_id,customer_id,order_date,order_status
1,4,04/02/2018,Concluído
2,2,16/03/2018,Concluído
3,9,03/04/2018,Concluído
4,13,06/04/2018,Concluído
5,4,08/04/2018,Concluído
6,12,10/04/2018,Concluído
7,4,12/04/2018,Concluído
8,5,14/04/2018,Concluído
9,6,16/04/2018,Concluído
10,9,30/04/2018,Concluído
11,14,04/05/2018,Concluído
12,5,23/05/2018,Concluído
13,5,26/05/2018,Concluído
14,13,02/06/2018,Concluído
15,1,03/06/2018,Concluído
16,4,11/06/2018,Concluído
17,5,12/06/2018,Concluído
18,5,15/06/2018,Concluído
19,9,20/06/2018,Concluído
20,17,25/06/2018,Concluído
21,11,28/06/2018,Concluído
22,11,02/07/2018,Concluído
23,1,15/07/2018,Concluído
24,5,17/07/2018,Concluído
25,13,20/07/2018,Concluído
26,5,25/07/2018,Concluído
27,5,28/07/2018,Concluído
28,9,14/08/2018,Concluído
29,17,29/08/2018,Concluído
30,18,01/09/2018,Concluído
31,1,11/09/2018,Concluído
32,4,14/09/2018,Concluído
33,5,18/09/2018,Concluído
34,17,19/09/2018,Concluído
35,6,28/09/2018,Concluído
36,7,03/10/2018,Concluído
37,7,17/10/2018,Concluído
38,12,17/10/2018,Concluído
39,19,19/10/2018,Concluído
40,19,20/10/2018,Concluído
41,17,23/10/2018,Concluído
42,11,27/10/2018,Concluído
43,12,07/11/2018,Concluído
44,17,07/11/2018,Concluído
45,4,10/11/2018,Concluído
46,13,14/11/2018,Concluído
47,6,28/11/2018,Concluído
48,19,04/12/2018,Concluído
49,9,07/12/2018,Concluído
50,16,21/12/2018,Concluído
51,11,04/01/2019,Concluído
52,2,07/01/2019,Concluído
53,16,14/01/2019,Concluído
54,11,24/01/2019,Concluído
55,11,28/01/2019,Concluído
56,14,02/02/2019,Concluído
57,22,04/02/2019,Concluído
58,22,09/02/2019,Concluído
59,16,13/02/2019,Concluído
60,7,15/02/2019,Concluído
61,12,15/02/2019,Concluído
62,17,16/02/2019,Concluído
63,5,17/02/2019,Concluído
64,9,17/02/2019,Concluído
65,22,22/02/2019,Concluído
66,14,23/02/2019,Concluído
67,11,26/02/2019,Concluído
68,21,27/02/2019,Concluído
69,3,03/03/2019,Concluído
70,26,08/03/2019,Concluído
71,21,16/03/2019,Concluído
72,17,19/03/2019,Concluído
73,24,20/03/2019,Concluído
74,19,21/03/2019,Concluído
75,21,22/03/2019,Concluído
76,13,23/03/2019,Concluído
77,19,25/03/2019,Concluído
78,5,29/03/2019,Concluído
79,26,05/04/2019,Concluído
80,19,06/04/2019,Concluído
81,3,08/04/2019,Concluído
82,3,14/04/2019,Concluído
83,11,16/04/2019,Concluído
84,2,17/04/2019,Concluído
85,3,18/04/2019,Concluído
86,17,22/04/2019,Concluído
87,15,23/04/2019,Concluído
88,2,24/04/2019,Concluído
89,19,26/04/2019,Concluído
90,19,27/04/2019,Concluído
