order_item_id,order_id,product_id,quantity,unit_price
1,1,8,1,49
2,2,48,2,249
3,3,3,2,119
4,4,29,2,199
5,5,7,2,49
6,6,16,1,109
7,7,11,2,189
8,8,24,1,209
9,9,14,2,49
10,10,2,1,89
11,11,4,1,89
12,12,37,1,99
13,13,9,2,69
14,14,35,1,119
15,15,48,2,249
16,16,27,2,199
17,17,19,1,149
18,18,49,1,299
19,19,35,1,119
20,20,4,2,89
21,21,18,2,149
22,22,36,1,99
23,23,29,2,199
24,24,16,2,109
25,25,27,1,199
26,26,29,1,199
27,27,17,2,119
28,28,7,1,49
29,29,13,1,49
30,30,12,1,219
31,31,21,1,299
32,32,10,1,189
33,33,20,1,199
34,34,17,2,119
35,35,23,1,269
36,36,18,2,149
37,37,44,1,359
38,38,30,2,159
39,39,13,2,49
40,40,8,2,49
41,41,21,2,299
42,42,15,1,69
43,43,10,1,189
44,44,42,1,349
45,45,20,1,199
46,46,50,2,199
47,47,12,2,219
48,48,5,2,89
49,49,3,1,119
50,50,37,1,99
51,51,17,1,119
52,52,9,1,69
53,53,12,2,219
54,54,23,1,269
55,55,21,2,299
56,56,38,2,349
57,57,15,1,69
58,58,36,2,99
59,59,34,1,199
60,60,32,1,259
61,61,47,1,249
62,62,32,2,259
63,63,24,2,209
64,64,22,2,169
65,65,25,1,209
66,66,5,2,89
67,67,2,2,89
68,68,18,2,149
69,69,35,1,119
70,70,12,2,219
71,71,43,1,249
72,72,4,2,89
73,73,29,2,199
74,74,34,1,199
75,75,42,2,349
76,76,46,1,399
77,77,49,1,299
78,78,28,2,499
79,79,8,2,49
80,80,46,2,399
81,81,34,2,199
82,82,16,1,109
83,83,25,1,209
84,84,42,2,349
85,85,8,1,49
86,86,28,1,499
87,87,35,1,119
88,88,19,2,149
89,89,1,1,89
90,90,20,2,199
91,91,23,1,269
92,92,39,1,399
93,93,20,1,199
94,94,22,1,169
95,95,27,2,199
96,96,48,1,249
97,97,25,1,209
98,98,41,1,399
99,99,33,1,219
100,100,5,2,89
101,101,14,1,49
102,102,30,2,159
103,103,20,2,199
104,104,30,2,159
105,105,21,1,299
106,106,23,1,269
107,107,10,1,189
108,108,36,1,99
109,109,19,2,149
110,110,31,2,299
111,111,9,1,69
112,112,19,2,149
113,113,14,1,49
114,114,50,2,199
115,115,12,2,219
116,116,2,1,89
117,117,29,1,199
118,118,16,2,109
119,119,49,2,299
120,120,38,1,349
121,121,18,1,149
122,122,4,2,89
123,123,42,2,349
124,124,10,2,189
125,125,6,2,119
126,126,14,2,49
127,127,6,1,119
128,128,26,2,229
129,129,43,1,249
130,130,31,1,299
131,131,30,1,159
132,132,20,1,199
133,133,48,2,249
134,134,23,2,269
135,135,17,1,119
136,136,26,1,229
137,137,25,1,209
138,138,26,2,229
139,139,6,1,119
140,140,34,1,199
141,141,8,2,49
142,142,24,1,209
143,143,45,1,359
144,144,26,1,229
145,145,10,2,189
146,146,10,1,189
147,147,31,2,299
148,148,29,2,199
149,149,45,1,359
150,150,46,2,399
151,151,44,2,359
152,152,35,2,119
153,153,40,1,399
154,154,34,2,199
155,155,29,1,199
156,156,30,1,159
157,157,41,1,399
158,158,39,1,399
159,159,26,1,229
160,160,3,2,119
161,161,18,2,149
162,162,4,1,89
163,163,37,2,99
164,164,1,2,89
165,165,15,1,69
166,166,36,2,99
167,167,14,2,49
168,168,8,1,49
169,169,14,2,49
170,170,39,1,399
171,171,5,2,89
172,172,1,2,89
173,173,17,1,119
174,174,45,2,359
175,175,17,2,119
176,176,27,1,199
177,177,9,1,69
178,178,34,2,199
179,179,45,1,359
180,180,47,1,249
181,181,48,1,249
182,182,23,1,269
183,183,18,2,149
184,184,20,2,199
185,185,38,2,349
186,186,14,1,49
187,187,16,2,109
188,188,48,2,249
189,189,4,2,89
190,190,46,2,399
191,191,50,1,199
192,192,18,1,149
193,193,14,1,49
194,194,20,2,199
195,195,38,2,349
196,196,34,1,199
197,197,33,1,219
198,198,18,2,149
199,199,17,2,119
200,200,32,1,259
201,201,9,2,69
202,202,46,1,399
203,203,39,1,399
